NO_OF_FRAMES	1124
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-10-29, 15:24:47	11034.90356421
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
912	9.11000	25.843	280.890	1662.514	86.138	414.339	1395.929	218.701	430.992	1124.402	301.453	349.709	917.390	-192.451	332.642	1378.713	-306.594	377.433	1098.206	-381.844	329.496	886.516	136.451	383.307	847.656	142.624	410.117	454.346	140.819	410.128	65.227	103.990	450.132	25.458	176.000	292.117	25.426	136.099	220.343	27.133	-208.051	329.258	848.583	-231.069	395.211	466.910	-220.631	412.621	79.040	-178.020	458.723	28.927	-270.746	309.788	27.375	-238.503	236.265	28.876
913	9.12000	24.558	280.027	1662.864	87.344	413.820	1395.754	218.914	429.848	1123.956	300.333	350.065	916.150	-191.984	334.372	1378.685	-306.238	378.988	1098.267	-381.811	330.725	886.773	136.905	382.819	847.744	142.816	409.627	454.205	140.630	410.297	65.795	104.134	450.121	25.513	176.160	292.047	25.293	135.682	220.391	27.259	-208.024	330.224	848.582	-230.890	395.366	466.890	-220.762	412.716	79.149	-178.007	458.796	28.902	-270.734	309.845	27.558	-238.539	236.208	28.915
914	9.13000	23.725	279.685	1663.143	88.613	413.384	1395.628	219.030	429.347	1123.276	298.893	351.309	914.373	-191.598	336.075	1378.554	-305.921	380.634	1098.348	-381.776	332.139	886.900	136.990	381.964	847.492	143.087	409.190	454.108	140.814	410.357	65.375	104.172	450.166	25.384	176.221	292.227	25.518	135.697	220.443	27.143	-207.935	331.080	848.691	-230.763	395.544	467.010	-220.652	412.630	79.158	-177.974	458.846	28.877	-270.869	309.848	27.355	-238.511	236.211	28.788
915	9.14000	22.715	279.664	1663.188	89.850	412.787	1395.263	219.026	429.045	1122.127	297.700	352.821	912.443	-191.267	337.682	1378.585	-304.397	382.986	1097.816	-381.708	333.949	886.831	137.439	381.414	847.466	143.023	408.362	453.927	140.771	410.193	65.366	104.199	450.090	25.418	176.024	292.198	25.542	135.364	220.385	27.141	-207.857	331.900	848.880	-230.697	396.025	466.837	-220.889	412.725	79.541	-178.056	458.793	28.860	-270.837	309.782	27.523	-238.455	236.267	28.822
916	9.15000	21.126	279.118	1663.607	91.134	412.269	1394.961	219.350	429.140	1120.562	295.517	354.763	910.128	-190.910	339.288	1378.499	-304.156	384.679	1097.889	-381.247	335.963	886.670	137.365	380.429	847.312	143.336	407.791	453.820	140.916	410.370	65.155	104.265	450.183	25.348	176.050	292.229	25.421	135.664	220.447	26.965	-207.746	332.910	848.840	-230.834	396.163	466.986	-220.850	412.800	79.457	-178.012	458.823	28.833	-270.660	309.814	27.520	-238.542	236.283	28.904
917	9.16000	20.051	278.580	1663.759	92.285	411.542	1394.430	219.125	429.345	1119.768	293.336	357.547	907.523	-190.593	340.755	1378.425	-303.331	386.709	1097.910	-380.700	338.066	886.431	138.134	379.626	847.391	143.570	407.174	453.874	141.346	409.950	64.893	104.257	450.153	25.254	176.019	292.204	25.455	135.685	220.486	27.045	-207.586	334.071	848.871	-230.342	396.789	466.835	-221.154	412.893	79.452	-177.946	458.790	28.866	-270.763	309.894	27.522	-238.468	236.248	28.850
918	9.17000	19.454	278.337	1663.645	93.562	410.816	1394.013	218.700	429.707	1119.008	291.288	360.635	904.651	-190.364	342.083	1378.284	-302.771	388.230	1097.840	-379.971	340.419	885.752	138.702	378.714	847.437	143.743	406.564	453.916	140.984	410.461	65.432	104.453	450.172	25.215	176.080	292.270	25.371	135.548	220.548	27.199	-207.399	335.113	848.784	-230.353	397.249	466.850	-220.822	412.751	79.192	-177.984	458.887	28.795	-270.990	309.790	27.532	-238.622	236.266	28.986
919	9.18000	18.363	277.740	1663.906	94.838	410.167	1393.552	218.509	430.058	1118.005	288.845	364.175	901.614	-190.057	343.482	1378.055	-302.605	389.660	1097.592	-379.593	342.839	885.535	139.188	377.963	847.365	144.072	405.945	453.793	141.069	410.214	65.333	104.521	450.192	25.185	175.987	292.371	25.575	135.439	220.537	27.116	-207.367	336.367	848.728	-230.193	397.577	466.896	-220.593	412.751	79.172	-177.961	458.811	28.751	-271.099	309.741	27.581	-238.567	236.341	28.926
920	9.19000	17.127	277.485	1663.844	96.086	409.525	1393.167	218.255	430.611	1116.686	285.992	368.242	898.474	-189.820	344.758	1377.826	-301.646	391.863	1097.060	-378.902	345.227	885.429	139.577	376.910	847.331	144.225	405.365	453.842	141.124	410.563	65.833	104.512	450.263	25.192	175.914	292.370	25.543	135.435	220.512	27.351	-207.375	337.621	848.852	-230.185	398.109	466.959	-220.855	412.882	79.349	-177.937	458.888	28.704	-271.076	309.707	27.557	-238.554	236.275	28.927
921	9.20000	15.619	276.927	1664.056	97.328	408.890	1392.854	217.473	430.862	1115.181	283.442	372.489	895.374	-189.544	346.032	1377.570	-300.391	393.602	1096.641	-378.133	347.688	884.876	140.203	375.931	847.275	144.419	404.596	453.876	140.882	410.353	65.435	104.576	450.192	25.124	175.829	292.264	25.594	135.182	220.540	27.172	-207.256	338.724	848.947	-229.985	398.411	466.979	-220.562	413.123	79.138	-177.953	458.967	28.686	-270.670	309.900	27.319	-238.601	236.356	28.942
922	9.21000	13.891	276.578	1664.228	98.565	408.030	1392.444	216.913	431.526	1114.022	280.666	377.185	892.539	-189.220	347.227	1377.332	-299.754	395.132	1096.539	-377.267	350.416	884.162	140.872	375.084	847.287	144.475	403.721	453.766	141.165	409.815	65.198	104.691	450.219	25.112	175.587	291.991	25.473	135.311	220.442	27.093	-207.176	339.851	849.056	-229.875	398.816	467.009	-220.490	413.027	79.063	-178.060	458.957	28.671	-270.926	309.939	27.542	-238.488	236.333	28.945
923	9.22000	12.394	276.653	1664.366	99.736	407.415	1392.084	216.583	431.971	1112.519	277.747	381.711	889.690	-189.075	348.448	1377.227	-299.285	397.109	1096.139	-376.135	353.049	883.621	141.601	374.278	847.448	144.573	402.914	453.754	141.077	410.194	65.718	104.739	450.234	25.140	175.899	292.349	25.645	135.376	220.466	27.116	-207.032	340.810	849.068	-229.595	399.070	466.965	-220.750	413.039	79.106	-178.059	459.050	28.567	-270.911	309.920	27.407	-238.452	236.344	28.937
924	9.23000	10.929	276.426	1664.534	100.856	406.512	1391.664	215.726	432.383	1111.444	274.784	386.565	887.200	-188.578	349.908	1376.937	-298.617	398.720	1095.867	-375.365	355.631	883.150	141.436	373.012	847.427	144.633	402.055	453.607	141.230	410.212	65.637	104.660	450.177	25.042	175.872	292.374	25.509	135.293	220.481	27.159	-207.048	341.887	849.263	-229.518	399.303	466.857	-220.565	413.257	79.183	-178.076	458.992	28.599	-270.646	309.765	27.461	-238.484	236.401	28.993
925	9.24000	9.311	276.060	1664.980	102.085	405.657	1391.306	214.989	432.725	1110.597	271.935	391.305	884.644	-188.262	351.148	1376.783	-297.216	400.777	1095.471	-374.295	358.245	882.480	141.922	372.335	847.214	144.631	401.183	453.775	141.366	409.908	65.136	104.773	450.286	25.121	175.894	292.270	25.583	135.389	220.363	27.117	-207.017	342.968	849.182	-229.463	399.381	466.883	-220.863	413.334	79.404	-178.073	459.011	28.484	-270.959	309.827	27.413	-238.416	236.409	28.903
926	9.25000	7.754	276.137	1665.392	103.239	404.659	1391.088	214.369	432.835	1109.756	268.770	396.243	882.519	-187.855	352.224	1376.446	-295.947	402.931	1094.852	-373.158	360.875	882.256	141.638	371.578	847.318	144.656	400.502	453.871	141.065	410.193	65.331	104.891	450.202	25.059	176.013	292.236	25.475	135.529	220.399	27.025	-207.067	344.033	849.247	-229.344	399.555	466.786	-220.765	413.483	79.308	-178.134	459.064	28.500	-270.816	310.017	27.485	-238.521	236.450	28.929
927	9.26000	6.162	276.148	1665.692	104.611	403.548	1390.847	213.760	432.999	1109.042	265.374	401.110	880.414	-187.603	353.252	1376.308	-294.669	405.089	1094.229	-372.050	363.420	881.630	141.931	370.699	847.375	144.371	399.785	453.926	141.093	409.995	65.406	104.870	450.250	25.053	175.732	292.353	25.793	135.331	220.619	27.089	-206.894	345.228	849.196	-229.278	399.825	466.805	-220.764	413.576	78.963	-178.153	459.132	28.436	-270.850	309.859	27.497	-238.469	236.459	28.998
928	9.27000	4.940	276.161	1665.860	105.959	402.340	1390.815	213.350	432.813	1108.330	262.190	405.527	878.403	-187.236	354.230	1376.000	-293.634	406.675	1093.784	-370.760	365.888	881.025	141.370	369.935	847.062	143.997	399.391	454.004	141.137	409.982	65.971	104.918	450.294	25.119	175.819	292.343	25.581	135.400	220.574	27.039	-206.942	346.126	849.210	-229.312	399.949	466.683	-220.524	413.247	79.016	-178.228	459.166	28.320	-271.055	309.896	27.441	-238.491	236.477	28.893
929	9.28000	3.502	276.193	1666.221	107.215	401.028	1390.627	213.071	432.457	1107.638	258.638	409.859	876.852	-186.840	355.160	1375.695	-291.905	408.529	1093.213	-369.341	368.496	880.503	141.499	369.358	846.828	143.913	398.592	453.773	140.990	409.999	65.827	104.818	450.299	25.198	175.836	292.270	25.615	135.175	220.406	27.057	-206.977	347.148	849.259	-228.910	400.075	466.557	-220.850	413.724	79.108	-178.198	459.151	28.376	-271.237	309.917	27.621	-238.534	236.552	29.070
930	9.29000	2.088	276.502	1666.833	108.523	399.783	1390.586	212.846	432.028	1107.333	255.820	414.008	875.312	-186.558	355.882	1375.462	-290.921	409.911	1092.796	-367.856	371.040	879.479	141.771	368.955	846.809	143.910	397.827	454.178	141.230	409.891	65.801	104.867	450.376	25.117	175.802	292.344	25.672	135.279	220.647	27.086	-207.035	348.166	849.193	-228.770	400.283	466.468	-220.974	413.493	78.986	-178.196	459.182	28.355	-271.036	309.980	27.347	-238.431	236.539	28.965
931	9.30000	0.661	276.523	1667.069	109.751	398.191	1390.368	212.414	431.363	1106.948	253.196	417.281	874.080	-186.232	356.494	1375.234	-290.130	411.220	1091.698	-366.705	373.360	878.636	141.905	368.753	846.847	143.710	396.817	453.889	140.799	409.850	65.971	104.816	450.379	25.104	175.797	292.566	25.767	135.115	220.555	27.288	-207.072	349.007	849.202	-228.643	400.203	466.586	-221.275	413.745	79.520	-178.253	459.158	28.305	-270.735	310.069	27.297	-238.545	236.578	29.065
932	9.31000	-0.456	276.668	1667.511	111.008	396.619	1390.355	212.236	430.449	1106.421	250.969	419.431	873.299	-185.949	357.042	1374.949	-288.553	412.520	1090.635	-365.067	375.578	877.986	141.865	368.784	846.533	143.394	396.212	454.222	140.914	409.801	65.896	104.763	450.357	25.130	175.662	292.269	25.607	135.115	220.601	27.103	-207.194	349.886	849.392	-228.583	400.278	466.401	-221.357	413.857	79.484	-178.330	459.223	28.225	-270.935	310.075	27.475	-238.411	236.586	28.979
933	9.32000	-1.682	276.765	1667.747	112.019	395.172	1390.252	212.261	429.570	1106.007	249.183	420.817	872.509	-185.546	357.569	1374.767	-287.050	413.592	1089.736	-363.415	377.463	876.892	141.652	368.999	846.126	143.154	395.520	454.107	141.167	409.708	66.087	104.732	450.365	25.225	175.874	292.490	25.917	135.047	220.561	27.144	-207.384	350.860	849.412	-228.506	400.371	466.488	-221.572	413.906	79.302	-178.386	459.305	28.208	-270.829	310.029	27.295	-238.408	236.587	29.042
934	9.33000	-3.016	276.596	1667.951	113.025	393.690	1390.098	212.477	428.287	1105.589	248.053	421.348	871.921	-185.208	358.153	1374.731	-286.227	414.100	1089.421	-362.123	378.756	876.352	141.277	369.138	845.928	142.825	394.832	453.769	141.074	409.652	66.755	104.655	450.345	25.061	175.517	292.185	25.581	135.189	220.663	27.182	-207.585	352.013	849.593	-228.281	400.203	466.471	-221.062	414.127	79.390	-178.444	459.213	28.098	-271.181	310.007	27.370	-238.416	236.634	29.037
935	9.34000	-4.062	276.445	1668.540	114.024	392.322	1390.102	212.833	427.220	1105.337	247.250	420.996	871.569	-184.765	358.875	1374.768	-285.290	414.493	1089.042	-360.584	379.958	875.550	141.073	369.373	845.755	142.459	394.265	453.719	141.381	409.562	65.747	104.638	450.407	25.107	175.748	292.566	25.824	135.144	220.692	27.035	-207.586	353.051	849.615	-228.243	400.204	466.432	-221.772	414.065	79.659	-178.542	459.328	28.015	-270.947	310.120	27.389	-238.349	236.625	29.050
936	9.35000	-4.687	276.291	1668.809	114.815	391.045	1390.219	213.296	425.728	1104.987	246.806	419.847	871.158	-184.344	359.463	1374.836	-283.984	415.654	1089.338	-359.327	380.551	875.342	141.199	369.588	845.865	142.176	393.695	453.756	141.034	409.670	66.397	104.645	450.322	25.052	175.731	292.140	25.770	135.115	220.556	27.218	-207.678	354.025	849.596	-228.301	400.196	466.347	-221.561	414.214	79.405	-178.560	459.330	28.011	-270.877	310.138	27.168	-238.372	236.675	29.110
937	9.36000	-5.520	275.863	1668.907	115.524	389.843	1390.374	214.103	424.265	1104.797	246.954	417.910	871.172	-183.910	359.938	1374.968	-283.259	415.537	1089.279	-357.933	380.937	875.388	141.854	369.630	846.174	141.861	393.277	453.704	140.949	409.768	66.363	104.648	450.284	25.053	175.609	292.346	25.556	135.103	220.670	27.094	-207.876	355.122	849.608	-228.073	400.165	466.207	-221.550	414.202	79.332	-178.616	459.362	27.990	-271.078	310.096	27.379	-238.346	236.680	29.020
938	9.37000	-6.152	275.359	1669.033	116.150	388.703	1390.518	214.573	422.655	1104.584	247.147	414.743	870.893	-183.584	360.347	1375.177	-282.850	415.791	1089.173	-356.707	380.663	875.396	142.261	369.738	846.567	141.440	392.521	453.783	140.901	409.738	66.285	104.528	450.230	25.029	175.715	292.308	25.564	134.984	220.566	27.155	-207.991	356.186	849.744	-227.842	399.889	466.160	-221.644	414.173	79.729	-178.693	459.441	27.904	-270.952	310.099	27.294	-238.288	236.668	29.044
939	9.38000	-7.052	274.705	1669.290	116.713	387.562	1390.623	215.089	420.429	1104.362	248.006	411.072	871.000	-183.303	360.612	1375.391	-281.916	416.285	1089.293	-355.445	380.225	875.595	142.616	369.995	846.844	140.993	392.161	453.589	141.094	409.508	65.701	104.523	450.304	25.089	175.690	292.354	25.518	135.376	220.586	27.242	-208.209	357.337	849.808	-227.562	399.654	466.093	-222.073	414.364	79.817	-178.643	459.521	27.927	-271.183	310.176	27.446	-238.301	236.785	29.128
940	9.39000	-7.765	273.971	1669.455	117.351	386.566	1390.943	215.741	418.363	1104.716	248.677	406.272	871.265	-182.980	360.862	1375.523	-281.628	416.322	1089.343	-354.273	379.538	875.471	142.693	370.625	846.937	140.634	391.505	453.605	140.915	409.731	66.046	104.559	450.266	25.111	175.669	292.392	25.566	135.167	220.615	27.280	-208.304	358.409	849.820	-227.190	399.529	466.081	-221.620	414.426	79.517	-178.665	459.492	27.962	-271.122	310.181	27.276	-238.234	236.818	29.092
941	9.40000	-8.374	273.161	1669.546	117.920	385.621	1391.197	216.549	415.872	1104.673	249.819	400.898	871.552	-182.749	360.876	1375.666	-281.088	416.663	1089.115	-353.174	378.776	875.228	142.713	371.288	847.111	140.213	390.979	453.437	140.914	409.812	66.832	104.565	450.257	25.148	175.783	292.289	25.583	135.228	220.706	27.244	-208.442	359.493	849.791	-226.882	399.214	465.828	-221.735	414.346	79.590	-178.716	459.441	27.758	-270.990	310.288	27.131	-238.255	236.713	29.171
942	9.41000	-9.092	272.176	1669.708	118.199	384.519	1391.375	218.082	413.228	1105.147	251.252	394.892	871.612	-182.591	360.801	1375.806	-280.985	416.323	1089.181	-352.114	377.322	875.326	142.570	371.989	846.463	139.934	390.444	453.449	140.837	409.652	66.520	104.603	450.365	25.270	175.702	292.312	25.501	135.016	220.692	27.255	-208.659	360.599	849.802	-226.470	398.710	465.626	-221.891	414.544	79.708	-178.736	459.564	27.863	-270.976	310.125	27.037	-238.188	236.823	29.148
