X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
9.188007	-9.810683e-07	-1.236405e-06	-1.670318e-06	6.624993e-06	
9.189007	-1.220427e-06	-8.243784e-08	2.962537e-06	9.847941e-06	
9.190007	-5.759826e-06	2.727126e-06	3.467257e-06	9.865300e-06	
9.191007	-1.071250e-05	5.711177e-06	1.480303e-07	1.306628e-05	
9.192007	-1.109905e-05	6.999858e-06	-1.538592e-06	1.339898e-05	
9.193008	-1.034415e-05	4.942189e-06	-7.078053e-07	1.024592e-05	
9.194008	-6.884369e-06	2.252902e-06	2.166539e-07	1.173424e-05	
9.195008	-6.103653e-06	8.512882e-07	1.077909e-06	5.957351e-06	
9.196008	-1.035567e-05	-2.976275e-07	2.276995e-07	-1.765965e-06	
9.197008	-9.354950e-06	-2.758378e-06	-2.951123e-07	-1.795663e-06	
9.198008	-6.689938e-06	-3.985361e-06	-1.857952e-06	-8.190380e-06	
9.199008	-7.006611e-06	-5.363232e-06	-5.101048e-06	-1.031339e-05	
9.200008	-3.810292e-06	-9.377296e-06	-2.883684e-06	-2.380841e-06	
9.201008	-3.744531e-06	-8.097298e-06	-3.588855e-06	-3.748939e-06	
9.202008	-6.434044e-06	-3.080857e-06	-5.547589e-06	-8.692457e-06	
9.203008	-3.131715e-06	3.364674e-06	6.517256e-07	-9.280171e-06	
9.204009	-2.067752e-08	9.138085e-06	2.200157e-06	-1.039852e-05	
9.205009	2.014424e-06	9.666141e-06	-9.181197e-07	-7.301256e-06	
9.206009	2.272131e-06	1.216561e-05	3.395834e-07	-5.490636e-06	
9.207009	-1.935239e-06	1.746207e-06	2.385435e-06	-7.508097e-06	
9.208009	-2.611616e-06	-1.719606e-05	2.285132e-06	-4.257750e-06	
9.209009	1.614847e-06	-1.390110e-05	7.242378e-07	-4.821915e-06	
9.210009	6.466682e-06	-6.578027e-06	-1.863245e-06	-6.357454e-06	
9.211009	8.229388e-06	-7.817493e-06	-2.424159e-06	-8.022050e-07	
9.212009	9.547466e-06	-4.323994e-06	1.646376e-06	-6.942557e-07	
9.213009	1.295186e-05	-7.615798e-07	1.539322e-06	-1.483433e-06	
9.214009	1.159855e-05	8.898841e-07	-9.680902e-07	2.378948e-07	
9.215010	1.082182e-05	2.851383e-06	8.847760e-07	-2.320036e-06	
9.216010	1.162929e-05	4.939428e-06	3.382301e-07	-2.191518e-06	
9.217010	6.284347e-06	6.925099e-06	1.415130e-06	3.757711e-07	
9.218010	1.366886e-06	7.388970e-06	2.300185e-06	1.198923e-06	
9.219010	-5.226644e-08	8.037055e-06	-1.930710e-06	1.330821e-06	
9.220010	4.578404e-07	8.061219e-06	-1.304075e-06	6.222068e-07	
9.221010	9.694056e-08	5.075067e-06	2.262486e-06	1.503033e-06	
9.222010	-5.960962e-06	9.980288e-09	3.717553e-06	3.113498e-06	
9.223010	-9.369217e-06	-5.853383e-06	5.398414e-06	4.145030e-06	
9.224010	-5.851139e-06	-1.197145e-05	3.842726e-06	6.527449e-06	
9.225010	-6.338243e-06	-1.476335e-05	-1.532090e-06	4.942342e-06	
9.226011	-9.363496e-06	-1.060653e-05	-3.149691e-06	9.909417e-08	
9.227011	-7.353811e-06	-6.768027e-06	-3.334789e-06	2.980192e-07	
9.228011	-7.092494e-06	-5.647353e-06	-4.769925e-06	1.599741e-06	
9.229011	-8.977246e-06	-5.211821e-06	-7.692584e-07	1.045137e-06	
9.230011	-5.997473e-06	-3.665813e-06	1.443300e-06	-2.404773e-06	
9.231011	-6.171167e-07	4.273077e-06	2.868104e-07	-6.149687e-06	
9.232011	2.874030e-06	-4.576668e-06	2.843449e-06	-5.194267e-07	
9.233011	2.735316e-06	-1.076072e-05	3.556374e-06	2.909910e-06	
9.234011	2.932636e-06	2.619655e-05	2.295350e-06	-1.176218e-06	
9.235011	7.550771e-06	4.357772e-05	2.345632e-07	2.206352e-06	
9.236011	7.129497e-06	1.830545e-05	-2.124749e-06	4.811776e-06	
9.237012	4.160940e-06	7.158535e-06	-1.491301e-06	7.307334e-07	
9.238012	8.599964e-06	1.122055e-05	4.262545e-07	3.007298e-06	
9.239012	7.129959e-06	9.373362e-06	4.670245e-06	7.684388e-06	
9.240012	1.791701e-06	1.691345e-08	8.623262e-06	8.589043e-06	
9.241012	4.621293e-06	-4.673443e-06	6.817256e-06	8.965207e-06	
9.242012	8.818473e-06	-3.214284e-06	2.693941e-06	7.384011e-06	
9.243012	1.130365e-05	-3.437733e-06	1.996385e-06	2.712049e-06	
9.244012	6.685555e-06	-4.117667e-06	1.391043e-06	-1.193729e-06	
9.245012	-1.524524e-06	-9.702012e-06	-2.613696e-06	-9.824690e-07	
9.246012	-8.504892e-07	-1.195219e-05	-1.686579e-06	-7.347243e-07	
9.247012	3.068789e-06	-9.924734e-06	3.176317e-06	9.684139e-08	
9.248013	4.526911e-07	-1.144182e-05	4.803502e-06	2.721440e-07	
9.249013	-5.126945e-06	-7.128607e-06	6.766688e-06	-3.381586e-06	
9.250013	-6.079516e-06	1.353411e-06	4.820909e-06	-3.332196e-06	
9.251013	-7.953166e-06	5.506655e-06	-3.426717e-06	-5.898568e-06	
9.252013	-1.082757e-05	6.311861e-06	-5.472508e-06	-9.555925e-06	
9.253013	-9.677898e-06	7.530181e-06	-3.818174e-06	-3.787496e-06	
9.254013	-9.824771e-06	5.418816e-06	-1.361570e-05	-3.216368e-06	
9.255013	-6.935379e-06	-8.410930e-07	-2.235959e-05	-6.866185e-06	
9.256013	-4.807115e-06	-4.656752e-06	-1.304050e-05	-3.288354e-06	
9.257013	-1.004040e-05	-6.984112e-06	-5.867044e-06	-1.925765e-06	
9.258013	-8.764961e-06	-5.094179e-06	-1.370937e-05	-3.928431e-06	
9.259014	-3.923535e-06	-4.192724e-06	-1.736285e-05	-2.212541e-06	
9.260014	-4.887530e-06	-7.513688e-06	-1.834587e-05	2.186883e-06	
9.261014	-2.881586e-06	-2.220878e-06	-2.226719e-05	5.587867e-06	
9.262014	-4.033534e-07	5.368247e-06	-5.913830e-06	6.865442e-06	
9.263014	-1.209020e-06	5.694340e-06	1.233764e-05	5.877072e-06	
9.264014	1.329102e-06	4.816210e-06	-4.120223e-07	2.835376e-07	
9.265014	1.512444e-06	9.075323e-06	-2.285251e-05	-5.588098e-06	
9.266014	-1.712099e-07	1.350524e-05	-2.725295e-05	-5.606435e-06	
