NO_OF_FRAMES	132
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-10-29, 15:20:41	10788.77882692
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
1129	11.28000	-29.551	332.582	1635.070	-121.567	510.883	1368.147	-53.730	604.176	1085.406	111.599	615.563	920.460	-162.498	209.690	1339.287	-221.927	161.920	1035.158	-195.896	110.615	816.645	-136.249	528.964	817.440	-224.574	480.089	439.417	-388.145	430.180	91.335	-443.976	393.504	65.937	-286.217	453.172	26.511	-217.187	411.974	27.538	-84.426	183.192	802.768	28.045	211.798	441.058	166.049	259.503	78.915	138.471	308.148	17.692	289.013	238.671	69.374	346.237	268.211	105.439
1130	11.29000	-19.662	331.338	1634.932	-109.831	509.273	1367.403	-43.558	602.716	1084.337	122.979	614.201	920.407	-150.393	208.114	1338.208	-210.667	161.643	1034.040	-185.601	110.005	815.227	-125.257	527.724	817.168	-214.948	479.556	439.544	-386.124	432.150	93.995	-442.698	395.216	70.646	-285.682	453.373	26.389	-217.395	412.013	27.247	-71.897	181.963	802.252	37.918	211.040	439.981	171.604	259.626	76.158	143.417	308.253	15.413	295.161	239.803	65.081	352.912	269.493	101.004
1131	11.30000	-9.782	329.507	1634.544	-97.997	507.574	1366.802	-33.139	600.958	1083.694	134.029	613.123	920.389	-138.333	206.503	1337.225	-200.438	160.197	1032.916	-175.436	109.500	813.848	-113.504	526.592	816.508	-205.051	479.337	439.489	-383.601	433.709	96.607	-440.962	396.816	75.917	-284.858	453.666	27.013	-217.313	411.848	27.581	-59.134	180.813	801.529	47.848	210.844	438.386	175.147	260.076	72.848	142.999	307.628	16.105	298.142	239.989	58.674	356.633	270.815	94.221
1132	11.31000	0.524	328.179	1634.629	-86.214	505.904	1366.331	-22.967	599.320	1082.771	144.513	611.819	920.015	-126.305	204.570	1336.385	-188.176	158.964	1033.299	-164.498	108.579	813.589	-101.457	525.471	815.461	-194.267	479.107	439.381	-381.365	434.315	102.250	-438.773	398.327	81.563	-284.674	453.975	26.353	-217.520	411.771	27.435	-46.105	179.540	801.161	58.477	209.998	437.497	177.426	262.306	70.673	144.163	310.394	17.843	298.645	240.848	48.597	359.463	270.655	80.483
1133	11.32000	10.970	326.240	1635.105	-74.539	504.420	1366.175	-12.556	597.659	1082.180	154.380	610.512	918.706	-114.455	202.711	1335.614	-176.121	157.986	1031.756	-153.699	107.631	813.144	-88.838	523.987	815.032	-183.667	478.522	439.629	-377.995	436.337	105.513	-436.369	400.234	87.679	-284.489	453.969	26.988	-217.190	411.745	27.230	-32.619	177.795	801.807	69.890	209.470	438.124	180.652	263.080	71.305	145.924	311.146	20.192	298.956	238.495	42.714	364.061	267.225	70.794
1134	11.33000	21.269	324.504	1635.891	-62.856	502.988	1366.303	-2.647	595.757	1081.422	163.852	609.465	917.593	-102.860	200.820	1335.604	-163.965	156.801	1030.168	-141.875	106.612	811.658	-75.779	522.702	814.565	-172.342	477.451	439.589	-374.566	438.422	111.042	-433.251	402.011	94.793	-283.619	454.290	26.959	-216.701	411.853	28.027	-19.475	176.089	802.841	79.641	209.424	439.479	186.408	263.124	70.936	147.770	311.318	21.560	302.697	237.766	39.972	368.661	263.520	63.671
1135	11.34000	31.197	323.040	1638.259	-51.319	501.439	1367.073	7.698	594.030	1080.747	172.621	608.094	916.027	-91.441	199.004	1335.846	-152.006	155.062	1031.365	-130.162	105.746	811.445	-61.846	521.385	813.690	-159.945	476.652	440.580	-369.926	439.089	116.476	-428.950	403.162	102.302	-283.119	454.205	29.099	-216.466	411.784	28.228	-6.617	174.586	806.191	89.225	208.449	441.690	189.049	262.226	70.774	148.657	310.988	22.676	304.076	237.002	36.351	370.569	260.854	56.359
1136	11.35000	41.968	321.239	1639.853	-39.321	499.706	1368.322	17.774	592.034	1081.634	180.464	606.511	913.972	-80.154	197.362	1336.367	-139.265	153.716	1030.853	-117.326	104.170	812.225	-47.746	520.203	813.614	-146.991	475.787	441.225	-365.480	440.509	123.501	-423.945	403.885	110.577	-282.354	453.724	29.758	-216.156	411.908	28.409	5.615	173.691	809.711	100.171	207.851	444.081	191.690	262.366	69.652	149.097	310.602	23.554	304.676	236.869	31.617	370.481	260.169	50.047
1137	11.36000	52.186	319.981	1640.973	-27.124	497.816	1369.831	27.649	589.736	1082.827	187.338	605.336	911.900	-69.035	195.815	1337.441	-126.958	151.993	1032.579	-105.139	102.761	812.811	-33.241	519.174	813.474	-133.069	474.892	442.091	-358.492	441.833	128.470	-417.350	404.373	119.546	-280.933	454.255	31.024	-216.097	411.518	28.390	17.420	172.405	812.847	112.782	206.356	446.748	193.614	262.458	69.208	149.650	309.936	24.436	305.070	237.049	29.213	371.506	261.988	45.565
1138	11.37000	63.028	318.217	1642.352	-14.576	495.954	1371.731	37.938	587.666	1084.053	193.606	603.775	910.186	-57.807	194.222	1338.653	-114.492	150.311	1033.766	-91.985	101.129	814.743	-18.682	518.163	813.444	-117.388	474.061	442.884	-350.966	442.677	135.533	-409.898	404.822	129.182	-278.817	453.982	32.235	-215.308	410.847	28.824	28.511	170.655	814.968	124.317	205.324	449.121	193.875	261.048	70.737	150.151	308.995	25.336	307.760	237.071	28.231	373.319	264.486	41.476
