NO_OF_SAMPLES	132
FREQUENCY	100
TIME_STAMP	2020-10-29, 15:20:41	10788.77882692
FIRST_SAMPLE	1119
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 3
FORCE_PLATE_CORNER_POSX_POSY_X	1137.770020
FORCE_PLATE_CORNER_POSX_POSY_Y	573.268982
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	1133.949951
FORCE_PLATE_CORNER_NEGX_POSY_Y	114.096001
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	630.994019
FORCE_PLATE_CORNER_NEGX_NEGY_Y	120.760002
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	631.823975
FORCE_PLATE_CORNER_POSX_NEGY_Y	581.182007
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1119	11.18000	1.145297	1.540090	2.575059	0.357965	0.371627	0.069538	0.000000	0.000000	0.000000	
1120	11.19000	1.237780	1.447412	3.100653	0.375873	0.435624	0.055826	0.000000	0.000000	0.000000	
1121	11.20000	1.261141	1.515449	3.102751	0.321145	0.371233	0.074044	0.000000	0.000000	0.000000	
1122	11.21000	1.307366	1.629038	3.101691	0.375978	0.362557	0.074111	0.000000	0.000000	0.000000	
1123	11.22000	1.010825	1.516877	3.010630	0.394147	0.399057	0.074160	0.000000	0.000000	0.000000	
1124	11.23000	1.216291	1.652128	3.012323	0.366976	0.389946	0.060461	0.000000	0.000000	0.000000	
1125	11.24000	1.190611	1.312485	2.926340	0.412403	0.390191	0.069309	0.000000	0.000000	0.000000	
1126	11.25000	1.307818	1.674498	3.102262	0.348706	0.334992	0.074045	0.000000	0.000000	0.000000	
1127	11.26000	1.192954	1.492794	3.187748	0.412078	0.417362	0.087995	0.000000	0.000000	0.000000	
1128	11.27000	1.192400	1.539176	2.926071	0.357830	0.362439	0.069443	0.000000	0.000000	0.000000	
1129	11.28000	1.193269	1.515724	3.188474	0.393951	0.380742	0.087863	0.000000	0.000000	0.000000	
1130	11.29000	1.190162	1.539815	2.487898	0.357840	0.389838	0.078839	0.000000	0.000000	0.000000	
1131	11.30000	1.262052	1.651818	3.100804	0.385043	0.371693	0.078776	0.000000	0.000000	0.000000	
1132	11.31000	1.124858	1.516384	3.100847	0.375835	0.353232	0.087760	0.000000	0.000000	0.000000	
1133	11.32000	1.238917	1.606164	3.101470	0.357468	0.380482	0.092586	0.000000	0.000000	0.000000	
1134	11.33000	1.191828	1.470760	2.926821	0.330311	0.380431	0.074061	0.000000	0.000000	0.000000	
1135	11.34000	1.262118	1.674032	3.100025	0.366753	0.417237	0.069799	0.000000	0.000000	0.000000	
1136	11.35000	1.191633	1.357027	3.101734	0.393862	0.398989	0.087788	0.000000	0.000000	0.000000	
1137	11.36000	1.215238	1.697912	2.750209	0.366825	0.371516	0.092695	0.000000	0.000000	0.000000	
1138	11.37000	1.191479	1.448061	2.926461	0.375707	0.389747	0.092480	0.000000	0.000000	0.000000	
1139	11.38000	1.214936	1.652517	2.748975	0.376133	0.417444	0.060621	0.000000	0.000000	0.000000	
1140	11.39000	1.237341	1.469961	3.014219	0.366407	0.417006	0.097217	0.000000	0.000000	0.000000	
1141	11.40000	1.215502	1.606774	2.925561	0.348642	0.389752	0.069638	0.000000	0.000000	0.000000	
1142	11.41000	1.261078	1.629426	2.925123	0.376096	0.399176	0.060488	0.000000	0.000000	0.000000	
1143	11.42000	1.237678	1.493127	3.013656	0.384928	0.399051	0.078742	0.000000	0.000000	0.000000	
1144	11.43000	1.100710	1.721711	2.484965	0.367180	0.399118	0.065259	0.000000	0.000000	0.000000	
1145	11.44000	1.101110	1.380278	3.100534	0.384937	0.389871	0.073964	0.000000	0.000000	0.000000	
