NO_OF_FRAMES	136
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-10-29, 15:06:34	9942.28641147
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
847	8.46000	281.939	234.064	1665.391	205.371	398.303	1381.708	211.925	471.539	1083.081	266.687	478.920	852.236	175.795	86.646	1361.557	160.956	39.737	1050.426	223.587	-18.190	838.112	245.971	406.083	830.557	203.504	392.912	448.397	180.478	360.818	65.559	133.165	330.401	25.387	299.249	381.320	26.754	366.626	337.845	25.287	241.641	56.678	833.195	199.561	68.433	458.930	172.722	117.027	73.227	123.049	160.440	27.024	279.781	81.411	26.678	350.128	117.250	27.494
848	8.47000	281.771	233.409	1665.309	205.085	398.311	1381.572	212.125	471.907	1083.201	267.154	479.237	852.175	175.911	86.729	1361.219	161.188	40.341	1049.755	222.986	-17.628	837.607	245.899	406.501	830.590	202.812	393.469	448.566	180.164	360.917	65.439	133.101	330.374	25.377	299.196	381.184	26.587	366.629	337.925	25.176	242.100	57.044	833.169	198.278	68.069	459.166	173.742	117.154	72.713	123.008	160.436	27.080	279.927	81.205	26.747	350.111	117.221	27.463
849	8.48000	282.383	233.486	1664.622	204.772	398.360	1381.477	212.406	472.128	1083.010	267.398	479.858	852.264	175.800	86.688	1360.822	160.296	40.129	1049.705	222.677	-17.130	837.077	245.926	406.884	830.352	202.766	393.908	448.462	180.398	360.929	65.551	133.105	330.347	25.266	299.270	381.283	26.681	366.665	337.971	24.980	242.699	57.615	833.206	197.007	67.744	459.554	173.907	117.421	72.514	123.020	160.430	27.084	279.775	81.402	26.551	350.026	117.195	27.437
850	8.49000	282.525	233.233	1664.408	204.385	398.436	1381.427	212.481	472.410	1082.989	267.684	480.353	852.310	175.825	86.737	1360.414	160.342	40.293	1049.280	221.750	-16.761	836.580	245.975	407.443	830.457	202.430	394.198	448.424	180.113	361.117	65.568	133.179	330.467	25.223	299.221	381.374	26.505	366.500	338.050	25.135	243.283	58.149	833.144	196.165	67.676	459.809	172.820	117.196	72.915	122.918	160.387	27.054	280.019	81.258	26.439	350.072	117.195	27.382
851	8.50000	282.982	233.267	1664.258	203.715	398.470	1381.278	212.355	472.763	1083.167	268.117	480.811	852.301	175.862	86.567	1360.079	160.595	40.878	1048.023	221.058	-16.231	836.125	245.932	407.931	830.364	202.439	394.761	448.603	180.502	361.114	65.156	133.131	330.511	25.232	299.246	381.493	26.553	366.555	337.999	25.030	243.740	58.587	833.109	194.812	67.601	459.771	173.465	117.320	72.487	122.944	160.363	26.964	279.635	81.243	26.577	349.952	117.146	27.452
852	8.51000	283.457	233.119	1663.754	203.087	398.504	1381.231	212.504	472.789	1082.878	268.658	481.368	852.421	175.866	86.627	1359.665	160.787	41.002	1047.510	220.679	-15.837	835.540	245.945	408.309	830.355	202.408	395.147	448.652	180.389	361.060	65.102	133.019	330.444	25.264	299.331	381.582	26.810	366.513	338.010	25.174	243.785	59.183	833.152	194.154	67.669	459.831	173.612	117.396	72.136	122.837	160.309	26.954	279.587	81.121	26.650	349.952	117.072	27.411
853	8.52000	283.932	232.987	1663.414	202.408	398.630	1381.036	212.198	473.134	1082.789	269.141	481.799	852.561	176.107	86.635	1359.321	160.726	41.326	1047.070	219.852	-15.456	835.006	245.803	408.793	830.419	202.479	395.547	448.682	180.490	361.084	65.107	133.038	330.483	25.375	299.130	381.471	26.570	366.525	337.992	24.963	244.221	59.777	833.093	193.706	67.674	459.992	173.262	117.471	72.412	122.784	160.314	27.014	279.712	81.088	26.429	349.865	117.038	27.482
854	8.53000	284.394	232.759	1663.040	201.654	398.588	1380.909	211.816	473.469	1082.816	269.765	482.165	852.766	176.137	86.589	1359.059	160.629	41.307	1046.676	219.274	-15.011	834.626	245.933	409.229	830.393	202.511	395.904	448.617	180.495	361.228	65.232	132.825	330.439	25.492	299.218	381.540	26.349	366.611	338.084	25.007	244.344	60.230	833.124	193.505	67.930	459.988	172.419	117.400	72.744	122.779	160.331	26.937	279.514	81.173	26.418	349.844	117.053	27.496
855	8.54000	284.785	232.784	1662.976	201.131	398.649	1380.842	211.439	473.627	1082.744	270.385	482.719	852.773	176.242	86.552	1358.832	160.630	41.376	1046.399	218.878	-14.745	834.238	246.096	409.677	830.488	202.610	396.254	448.636	180.560	361.239	65.218	133.137	330.551	25.258	299.088	381.687	26.367	366.708	338.134	24.904	244.410	60.755	833.146	193.730	68.213	460.001	173.040	117.356	72.623	122.820	160.381	26.955	279.522	81.064	26.565	349.904	117.041	27.479
856	8.55000	285.481	232.584	1662.620	200.356	398.605	1380.741	211.100	473.760	1082.791	271.130	483.294	853.059	176.576	86.563	1358.640	160.904	41.385	1046.245	218.603	-14.225	833.802	246.210	410.005	830.544	202.803	396.572	448.443	180.626	361.367	65.046	133.198	330.643	25.338	299.127	381.533	26.500	366.826	337.993	25.008	244.592	61.236	833.122	193.961	68.580	459.963	173.322	117.621	72.413	122.939	160.469	26.907	279.524	81.220	26.643	349.879	116.998	27.430
