X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
9.192007	7.471447e-06	4.379029e-06	4.667105e-06	5.247549e-06	
9.193008	7.441209e-06	4.300479e-06	4.505453e-06	5.217848e-06	
9.194008	7.409490e-06	4.242680e-06	4.344228e-06	5.188278e-06	
9.195008	7.376402e-06	4.205336e-06	4.184099e-06	5.158867e-06	
9.196008	7.342057e-06	4.188151e-06	4.025738e-06	5.129643e-06	
9.197008	7.306568e-06	4.190831e-06	3.869815e-06	5.100632e-06	
9.198008	7.270047e-06	4.213080e-06	3.717001e-06	5.071862e-06	
9.199008	7.232606e-06	4.254603e-06	3.567967e-06	5.043362e-06	
9.200008	7.194357e-06	4.315103e-06	3.423383e-06	5.015159e-06	
9.201008	7.155413e-06	4.394285e-06	3.283920e-06	4.987280e-06	
9.202008	7.115886e-06	4.491855e-06	3.150248e-06	4.959753e-06	
9.203008	7.075889e-06	4.607516e-06	3.023039e-06	4.932605e-06	
9.204009	7.035532e-06	4.740972e-06	2.902963e-06	4.905865e-06	
9.205009	6.994930e-06	4.891930e-06	2.790691e-06	4.879559e-06	
9.206009	6.954193e-06	5.060092e-06	2.686893e-06	4.853716e-06	
9.207009	6.913434e-06	5.245164e-06	2.592240e-06	4.828363e-06	
9.208009	6.872767e-06	5.446849e-06	2.507403e-06	4.803527e-06	
9.209009	6.832301e-06	5.664854e-06	2.433053e-06	4.779237e-06	
9.210009	6.792151e-06	5.898881e-06	2.369860e-06	4.755519e-06	
9.211009	6.752428e-06	6.148636e-06	2.318494e-06	4.732402e-06	
9.212009	6.713245e-06	6.413822e-06	2.279627e-06	4.709913e-06	
9.213009	6.674713e-06	6.694146e-06	2.253929e-06	4.688080e-06	
9.214009	6.636946e-06	6.989310e-06	2.242072e-06	4.666930e-06	
9.215010	6.600054e-06	7.299020e-06	2.244725e-06	4.646490e-06	
9.216010	6.564152e-06	7.622981e-06	2.262559e-06	4.626790e-06	
9.217010	6.529350e-06	7.960896e-06	2.296245e-06	4.607855e-06	
9.218010	6.495761e-06	8.312469e-06	2.346453e-06	4.589714e-06	
9.219010	6.463497e-06	8.677407e-06	2.413855e-06	4.572394e-06	
9.220010	6.432672e-06	9.055413e-06	2.499122e-06	4.555923e-06	
9.221010	6.403396e-06	9.446191e-06	2.602922e-06	4.540329e-06	
9.222010	6.375782e-06	9.849447e-06	2.725929e-06	4.525639e-06	
9.223010	6.349942e-06	1.026488e-05	2.868811e-06	4.511881e-06	
9.224010	6.325989e-06	1.069221e-05	3.032240e-06	4.499081e-06	
9.225010	6.304031e-06	1.113112e-05	3.216852e-06	4.487268e-06	
9.226011	6.284086e-06	1.158113e-05	3.422491e-06	4.476442e-06	
9.227011	6.266082e-06	1.204160e-05	3.648204e-06	4.466580e-06	
