X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
11.362074	7.825433e-06	3.277792e-05	4.995516e-06	2.723913e-05	
11.363075	7.751016e-06	3.181714e-05	4.922554e-06	2.720883e-05	
11.364076	7.683484e-06	3.087995e-05	4.853387e-06	2.717235e-05	
11.365077	7.623239e-06	2.996839e-05	4.788224e-06	2.712982e-05	
11.366078	7.570684e-06	2.908450e-05	4.727272e-06	2.708139e-05	
11.367078	7.526221e-06	2.823032e-05	4.670740e-06	2.702719e-05	
11.368079	7.490253e-06	2.740788e-05	4.618835e-06	2.696736e-05	
11.369080	7.463183e-06	2.661923e-05	4.571765e-06	2.690204e-05	
11.370081	7.445414e-06	2.586640e-05	4.529739e-06	2.683138e-05	
11.371082	7.437348e-06	2.515144e-05	4.492965e-06	2.675550e-05	
11.372083	7.439388e-06	2.447636e-05	4.461649e-06	2.667454e-05	
11.373084	7.451936e-06	2.384323e-05	4.436000e-06	2.658865e-05	
11.374085	7.475396e-06	2.325406e-05	4.416227e-06	2.649796e-05	
11.375086	7.510143e-06	2.271080e-05	4.402524e-06	2.640261e-05	
11.376087	7.556098e-06	2.221358e-05	4.394870e-06	2.630267e-05	
11.377087	7.612814e-06	2.176107e-05	4.393067e-06	2.619818e-05	
11.378088	7.679832e-06	2.135189e-05	4.396912e-06	2.608917e-05	
11.379089	7.756691e-06	2.098467e-05	4.406204e-06	2.597567e-05	
11.380090	7.842932e-06	2.065804e-05	4.420738e-06	2.585771e-05	
11.381091	7.938096e-06	2.037062e-05	4.440312e-06	2.573531e-05	
11.382092	8.041723e-06	2.012104e-05	4.464722e-06	2.560851e-05	
11.383093	8.153355e-06	1.990792e-05	4.493767e-06	2.547734e-05	
11.384094	8.272530e-06	1.972989e-05	4.527242e-06	2.534183e-05	
11.385095	8.398791e-06	1.958558e-05	4.564946e-06	2.520201e-05	
11.386096	8.531677e-06	1.947361e-05	4.606674e-06	2.505792e-05	
11.387096	8.670729e-06	1.939260e-05	4.652225e-06	2.490957e-05	
11.388097	8.815488e-06	1.934119e-05	4.701395e-06	2.475700e-05	
11.389098	8.965494e-06	1.931799e-05	4.753982e-06	2.460024e-05	
11.390099	9.120287e-06	1.932164e-05	4.809782e-06	2.443932e-05	
11.391100	9.279409e-06	1.935076e-05	4.868592e-06	2.427428e-05	
11.392101	9.442399e-06	1.940397e-05	4.930210e-06	2.410513e-05	
11.393102	9.608799e-06	1.947991e-05	4.994433e-06	2.393192e-05	
11.394103	9.778149e-06	1.957719e-05	5.061058e-06	2.375467e-05	
11.395104	9.949988e-06	1.969444e-05	5.129881e-06	2.357341e-05	
11.396105	1.012386e-05	1.983030e-05	5.200700e-06	2.338818e-05	
11.397106	1.029930e-05	1.998337e-05	5.273313e-06	2.319900e-05	
11.398106	1.047586e-05	2.015230e-05	5.347515e-06	2.300590e-05	
11.399107	1.065306e-05	2.033570e-05	5.423105e-06	2.280891e-05	
11.400108	1.083046e-05	2.053221e-05	5.499878e-06	2.260807e-05	
11.401109	1.100759e-05	2.074044e-05	5.577633e-06	2.240341e-05	
11.402110	1.118400e-05	2.095902e-05	5.656167e-06	2.219495e-05	
11.403111	1.135922e-05	2.118659e-05	5.735276e-06	2.198272e-05	
11.404112	1.153280e-05	2.142175e-05	5.814757e-06	2.176676e-05	
11.405113	1.170427e-05	2.166315e-05	5.894408e-06	2.154709e-05	
11.406114	1.187318e-05	2.190941e-05	5.974026e-06	2.132375e-05	
11.407115	1.203907e-05	2.215914e-05	6.053408e-06	2.109676e-05	
11.408115	1.220147e-05	2.241099e-05	6.132350e-06	2.086617e-05	
11.409116	1.235993e-05	2.266356e-05	6.210651e-06	2.063198e-05	
11.410117	1.251399e-05	2.291550e-05	6.288106e-06	2.039425e-05	
